COMPOUND_NAME	SMILES	CDK5_pIC50
2476963	CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)N(=O)=O)F	6.508638306
2476926	CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C(F)(F)F)Cl	6.951558196
2476928	CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C(F)(F)F)Br	6.944621669
2477068	CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C)Cl	7.602059991
2476936	CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)C#N	6.643018599
2476984	CCCCn1c(=O)ccc2c1nc(nc2)Nc3cc(ccc3F)C(F)(F)F	5.644874275
2477051	Cc1ccc(cc1NS(=O)(=O)C)Nc2ncc3ccc(=O)n(c3n2)C(C)C	6.920818754
2477020	Cc1cc(ccc1F)Nc2ncc3ccc(=O)n(c3n2)C(C)C	7.886056648
2477037	CC(C)n1c(=O)ccc2c1nc(nc2)Nc3cc(cc(c3)OC)C(F)(F)F	6.744727495
2477106	CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3F)O	6.968591536
2477045	CC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)C#N	7.119186408
2476912	CCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C#N)C#N	6.366531544
2477038	CC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)F)F	7.677780705
2476996	CCCCn1c(=O)ccc2c1nc(nc2)Nc3cc(c(c(c3)Cl)O)Cl	7.038578906
2476907	CCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C(F)(F)F)F	7.397940009
2476974	CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)OC(F)(F)F	6.721246399
2476902	CCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)NC(=O)OC(C)(C)C	6.530177984
2476945	CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)OC)OC	6.795880017
2476908	CCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C)F	7.366531544
2477089	CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3cccc(c3)C(F)(F)F	7.420216403
2476914	CCn1c(=O)ccc2c1nc(nc2)Nc3cc(cc(c3)OC)C(F)(F)F	6.366531544
2477107	CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)O	7.756961951
2477213	c1cc(c(cc1Nc2ncc3ccc(=O)n(c3n2)CC(F)(F)F)Cl)Br	4.602059991
2477004	CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C)F	6.958607315
2476989	CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C)C	6.696587929
2477101	CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3cccc(c3)I	7.308034897
